"","destination","series","Afghanistan","Albania","Algeria","American Samoa","Andorra","Angola","Anguilla","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bolivia, Plurinational State of","Bosnia and Herzegovina","Botswana","Brazil","British Virgin Islands","Brunei Darussalam","Bulgaria","Burkina Faso","Burundi","Cambodia","Cameroon","Canada","Cape Verde","Cayman Islands","Central African Republic","Chad","Chile","China","Colombia","Comoros","Congo, Democratic Republic of the","Congo","Cook Islands","Costa Rica","Cote d'Ivoire","Croatia","Cuba","Curacao","Cyprus","Czech Republic","Denmark","Djibouti","Dominica","Dominican Republic","Ecuador","Egypt","El Salvador","Equatorial Guinea","Eritrea","Estonia","Ethiopia","Fiji","Finland","France","French Polynesia","Gabon","Gambia","Georgia","Germany","Ghana","Greece","Grenada","Guadeloupe","Guam","Guatemala","Guinea-Bissau","Guinea","Guyana","Haiti","Honduras","Hong Kong, China","Hungary","Iceland","India","Indonesia","Iran, Islamic Republic of","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Korea, Democratic Peoples Republic of","Korea, Republic of","Kuwait","Kyrgyzstan","Lao People's Democratic Republic","Latvia","Lebanon","Lesotho","Liberia","Libyan Arab Jamahiriya","Liechtenstein","Lithuania","Luxembourg","Macao, China","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Martinique","Mauritania","Mauritius","Mexico","Micronesia (Federated States Of)","Moldova, Republic of","Monaco","Mongolia","Montenegro","Montserrat","Morocco","Mozambique","Myanmar","Namibia","Nauru","Nepal","Netherlands","New Caledonia","New Zealand","Nicaragua","Niger","Nigeria","Niue","North Macedonia","Northern Mariana Islands","Norway","Oman","Pakistan","Palau","Palestine, State of","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Puerto Rico","Qatar","Romania","Russian Federation","Rwanda","Saint Lucia","Samoa","San Marino","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Slovakia","Slovenia","Solomon Islands","Somalia","South Africa","Spain","Sri Lanka","Sudan","Suriname","Swaziland","Sweden","Switzerland","Syrian Arab Republic","Taiwan, Province of China","Tajikistan","Thailand","Timor-Leste","Togo","Tonga","Tunisia","Turkey","Turkmenistan","Tuvalu","Uganda","Ukraine","United Arab Emirates","United Kingdom","United States Virgin Islands","United States of America","Uruguay","Uzbekistan","Vanuatu","Venezuela, Bolivarian Republic of","Viet Nam","Yemen","Zambia","Zimbabwe"
"29","Cabo Verde","THSR","3","2","4","4","4","4","2","4","1","2","1","2","2","1","1","2","3","4","2","4","2","3","1","2","3","2","4","1","2","1","2","1","2","2","3","3","3","3","2","1","3","2","1","3","3","1","3","1","4","2","3","3","4","3","2","3","1","1","1","3","4","2","2","3","1","1","4","1","1","1","4","3","1","2","3","1","2","2","3","2","2","2","1","1","1","2","1","3","4","3","1","2","4","2","3","2","1","3","1","4","4","4","2","1","3","2","4","1","2","4","2","2","1","2","1","1","4","3","2","2","4","2","3","3","2","3","2","1","2","1","2","3","1","2","1","1","2","1","1","3","1","4","2","1","3","4","2","3","3","4","1","1","2","2","1","1","3","3","1","1","2","2","4","3","4","4","4","2","2","2","3","2","3","2","3","1","4","3","3","4","1","4","2","3","3","3","4","1","2","2","4","2","3","4","3","2","3","1","1","3","4","4","2","1","2","1","2","2"
"30","Cambodia","TFR","2","1","3","4","4","2","4","2","3","2","1","1","2","3","2","2","4","3","1","3","2","3","3","4","4","3","1","3","4","2","2","2","4","1","1","2","3","3","3","2","1","1","4","2","3","2","4","2","3","4","1","3","3","1","1","1","1","3","4","1","2","2","4","3","2","2","2","3","2","4","1","4","2","3","3","2","1","4","2","4","2","2","4","4","1","4","2","2","1","4","3","3","3","1","2","3","2","4","2","2","2","3","2","1","4","4","1","3","2","2","1","4","1","1","4","4","4","3","3","2","2","1","3","3","2","2","2","1","3","3","4","4","2","3","1","3","2","3","3","3","1","4","2","1","2","1","4","1","1","3","3","3","3","3","1","3","1","4","2","4","4","3","3","3","2","3","1","2","3","4","4","4","4","4","4","1","4","2","1","4","4","4","1","4","1","2","4","1","1","3","1","3","1","2","2","2","4","3","4","3","4","4","1","4","4","2","1","3"
"31","Cameroon","THSN","3","2","3","1","3","1","4","4","1","4","4","3","4","3","2","3","2","3","2","3","2","4","3","2","2","4","1","2","1","3","4","2","4","3","2","2","2","3","1","3","4","2","4","1","1","3","2","4","1","2","2","1","1","3","3","4","4","3","3","3","2","1","1","4","3","1","3","3","3","3","1","1","2","4","1","4","2","1","3","1","4","1","3","4","2","1","2","4","1","2","2","4","4","3","3","2","1","2","3","1","4","1","4","2","1","4","2","1","4","1","4","3","4","3","3","3","1","3","4","1","4","4","3","3","4","3","2","2","1","3","4","3","2","2","4","3","4","3","4","3","3","4","1","4","4","4","1","2","1","4","2","1","2","2","4","1","1","3","4","2","4","1","3","1","1","3","1","1","1","4","1","1","3","3","2","1","2","4","4","2","4","4","3","4","2","2","4","1","1","1","2","2","4","2","4","2","3","2","1","3","4","2","2","1","1","3","4","2"
"32","Canada","VFR","2","4","1","2","4","4","1","4","3","2","3","1","2","4","3","4","1","4","1","1","3","1","3","1","1","4","3","1","1","4","1","1","2","2","4","1","3","4","1","1","4","2","3","1","2","2","4","2","3","1","4","4","3","2","4","3","3","1","4","4","1","1","2","2","1","4","4","3","3","2","4","3","1","2","1","4","1","1","4","3","4","4","2","1","1","3","1","2","4","2","1","3","4","2","2","1","4","2","1","3","4","2","4","3","2","1","2","1","2","1","2","1","3","3","1","4","1","2","2","4","4","4","3","4","4","2","1","2","2","2","1","2","4","3","3","2","4","3","4","2","1","4","1","4","1","2","2","1","1","4","4","1","3","2","1","2","4","2","3","3","2","3","1","3","2","1","3","4","3","1","1","2","4","2","1","3","2","2","4","4","4","4","1","4","3","3","2","4","1","3","3","2","1","2","3","3","3","4","3","1","2","4","4","2","3","4","4","3"
"33","Cayman Islands","TFR","4","2","3","1","4","3","3","1","1","1","3","1","2","1","4","2","3","2","4","3","2","4","4","1","3","4","3","4","1","3","1","4","2","3","1","2","2","3","2","1","4","1","3","1","3","2","1","2","3","1","2","1","2","2","1","1","4","1","4","3","1","2","4","1","4","4","2","4","1","3","3","3","4","3","2","3","2","1","2","1","2","2","3","3","2","4","4","3","2","3","1","2","2","1","4","1","3","2","2","2","2","3","4","2","1","3","4","4","3","2","3","4","4","2","3","3","3","4","1","4","1","3","4","4","2","1","3","2","3","3","3","4","2","4","2","4","1","3","4","3","4","2","1","1","3","4","4","4","1","4","3","2","2","3","3","1","2","4","2","3","4","2","1","1","4","3","4","3","4","3","3","1","3","2","1","2","2","2","4","4","2","1","2","1","3","3","2","1","3","4","2","1","1","1","4","1","4","2","1","3","2","1","3","1","3","4","1","3"
"34","Central African Republic","TFN","1","4","3","1","3","3","4","2","2","1","2","4","3","1","3","3","2","2","1","2","3","2","1","1","2","2","4","3","3","4","3","2","2","2","1","4","3","1","1","4","1","3","4","3","4","2","3","4","1","3","4","4","3","3","3","3","1","4","1","2","1","3","4","1","1","2","1","2","1","1","1","3","1","1","4","2","1","1","3","2","2","3","3","3","1","2","2","3","4","4","1","3","2","1","2","2","1","3","3","4","2","3","2","1","2","3","1","4","1","4","1","4","1","4","4","2","3","4","1","2","1","2","4","3","4","4","2","3","1","3","1","3","1","4","3","2","4","3","2","3","2","4","2","1","3","3","2","3","2","3","1","3","4","1","2","3","3","2","2","4","1","3","3","2","2","2","3","2","1","3","3","2","2","3","3","4","3","3","2","2","4","3","1","2","2","1","2","2","3","4","3","3","2","1","3","4","1","3","3","2","2","1","4","1","1","2","3","2"
"35","Chile","TFN","4","1","4","4","4","3","3","3","2","4","1","4","3","4","3","4","1","4","2","1","2","1","2","4","2","2","3","3","4","2","2","2","4","1","3","1","1","3","3","4","4","2","2","4","1","4","1","2","3","4","1","3","3","1","4","2","2","1","4","4","3","2","3","3","4","3","2","2","1","3","1","1","1","2","1","3","3","3","2","1","1","3","2","2","4","2","3","2","2","2","2","1","4","1","4","1","4","3","2","2","1","4","3","4","3","1","2","2","3","3","1","1","1","4","1","1","3","1","2","1","2","1","3","3","3","2","1","2","4","2","1","4","1","2","4","3","3","4","3","4","1","3","2","1","2","4","1","4","2","3","3","1","3","1","1","2","3","1","4","1","2","1","2","4","3","2","1","2","2","1","2","2","2","1","2","1","2","2","2","1","4","1","3","4","2","3","4","4","3","4","4","4","3","4","3","4","3","4","1","2","2","4","2","1","2","4","4","3"
"36","China","VFN","2","1","4","2","2","3","3","1","3","4","3","3","2","4","3","1","1","1","1","4","2","2","4","1","1","3","1","1","1","1","3","4","4","2","3","3","4","1","4","4","2","2","1","4","1","1","4","1","2","3","4","4","2","4","3","3","1","1","2","3","1","1","3","1","2","3","2","4","4","3","2","4","1","4","1","3","3","4","1","4","3","4","2","2","4","4","1","3","3","2","4","1","4","4","3","2","4","4","1","1","4","4","2","4","4","2","2","2","4","4","1","2","4","1","2","4","4","3","3","4","3","4","2","3","4","3","2","3","1","3","2","4","4","4","1","2","2","2","3","2","1","2","3","4","1","2","2","2","4","4","3","2","4","4","1","3","1","4","4","4","2","4","2","4","1","4","1","3","3","4","2","2","4","1","4","2","4","4","2","2","2","2","1","1","1","4","1","1","1","3","3","4","2","3","1","1","4","1","1","4","2","3","2","2","1","2","1","3"
"37","Colombia","TFR","2","4","3","1","2","1","3","3","1","4","3","4","4","2","1","1","3","1","3","4","3","1","1","1","3","4","3","3","1","3","3","3","3","3","4","3","3","4","1","3","3","3","2","3","1","1","4","3","1","1","2","2","1","4","2","3","4","1","2","3","3","2","2","1","3","1","4","1","4","4","1","1","1","3","1","4","3","2","1","3","3","4","2","2","2","2","1","4","2","1","3","4","1","1","3","2","2","2","1","1","2","4","4","4","3","3","1","3","4","3","1","3","4","3","4","3","4","3","1","3","3","4","3","1","1","3","3","2","3","3","1","4","3","1","3","3","1","4","1","1","1","2","2","4","1","1","4","4","4","2","4","4","1","1","2","3","1","1","4","2","2","3","4","4","4","3","1","2","3","2","3","1","1","1","4","1","1","3","4","3","2","2","2","2","3","3","1","1","4","4","2","3","4","1","2","3","4","3","3","2","3","1","1","1","3","1","3","2"
"38","Comoros","TFN","3","2","4","2","4","4","2","4","2","1","3","4","4","3","3","1","3","3","1","4","1","4","2","1","3","1","1","4","4","4","4","2","4","4","1","4","3","4","1","3","4","3","4","1","3","4","2","2","1","4","3","3","2","3","2","3","1","4","4","1","2","1","2","2","2","1","1","4","4","2","1","4","1","3","1","4","3","3","2","2","2","3","2","1","3","1","4","3","4","3","1","4","3","2","3","4","3","4","4","3","1","2","1","3","4","1","3","4","3","4","4","4","1","1","1","3","2","4","3","3","3","1","3","3","4","2","3","2","4","4","3","1","3","4","1","3","1","2","3","1","3","4","4","2","1","1","3","3","1","3","3","2","4","1","1","3","4","1","3","1","4","1","4","1","3","4","3","4","4","2","1","4","2","1","4","2","2","4","4","3","1","3","2","4","1","2","4","4","1","3","2","3","2","4","1","2","1","1","4","1","2","2","1","4","3","2","3","1"
"39","Cook Islands","TFR","2","2","1","4","3","3","1","4","4","3","4","1","1","2","2","3","4","3","1","3","1","2","1","1","1","2","2","3","1","3","3","3","4","2","1","3","4","4","2","4","3","4","2","4","1","3","1","1","3","1","4","4","4","3","3","3","3","3","3","1","2","4","2","3","2","3","2","3","3","4","1","3","2","2","1","1","3","3","2","1","1","4","4","2","1","4","3","2","4","1","1","1","2","2","2","4","1","2","1","3","3","2","2","4","2","4","3","3","1","1","3","4","1","3","1","1","1","2","1","1","4","1","3","4","2","4","2","1","3","3","4","3","1","3","4","4","4","2","4","3","3","1","3","4","4","3","2","4","3","1","2","2","3","4","3","3","2","4","3","3","1","3","4","2","3","4","4","3","1","2","3","1","1","2","4","3","3","2","3","4","2","3","3","1","2","2","2","2","3","1","3","2","4","3","1","2","1","4","4","1","2","3","1","3","4","3","1","4"
"40","Costa Rica","TFN","2","3","4","4","4","3","4","2","1","1","2","3","4","1","3","1","4","3","1","1","4","3","4","4","4","2","3","4","2","2","2","3","3","1","3","3","2","1","2","2","1","4","4","3","4","4","1","1","3","1","4","1","3","2","3","3","3","4","2","4","2","4","2","1","2","1","1","1","2","1","3","4","4","1","3","2","2","3","4","3","1","3","3","4","4","1","3","3","1","3","4","1","4","2","3","2","2","4","3","3","4","3","4","2","1","3","4","4","4","2","4","3","2","2","4","2","4","3","2","2","3","4","4","1","2","4","1","2","4","2","2","2","1","2","4","1","2","4","3","4","3","4","1","3","2","3","3","2","1","4","3","1","4","2","4","3","1","2","2","1","1","4","1","4","2","1","4","2","4","3","3","3","4","4","1","2","1","3","1","3","4","2","4","4","3","1","2","1","2","2","2","4","4","4","3","3","2","1","2","2","4","1","3","2","1","1","4","1"
"41","Croatia","THSR","4","1","1","1","3","4","1","4","4","3","2","2","4","4","2","3","1","1","4","3","3","3","4","2","3","3","4","4","3","2","3","3","3","2","4","3","3","3","3","2","3","4","2","2","1","3","2","1","1","3","2","3","3","4","2","2","2","1","3","2","1","1","1","4","2","1","3","4","2","1","3","4","1","2","4","3","1","3","3","3","2","1","2","1","1","1","4","3","3","1","1","3","2","1","2","4","2","2","1","3","2","3","1","2","2","2","1","1","1","1","2","2","1","2","3","2","2","4","2","4","3","1","4","2","2","4","4","2","3","1","2","4","4","2","3","2","2","3","3","2","2","1","4","4","2","1","2","3","1","1","1","3","1","1","4","3","2","2","3","1","4","1","4","2","1","1","3","2","4","3","3","2","4","2","3","4","2","4","2","4","2","1","2","3","4","4","3","3","1","4","3","4","2","4","2","4","3","4","3","2","3","1","4","4","2","3","4","3"
"42","Cuba","VFR","3","1","1","3","2","3","2","3","4","4","4","3","1","4","1","3","4","2","1","4","2","1","3","2","4","2","3","3","2","2","2","2","4","2","2","2","3","4","1","4","1","2","1","1","4","4","1","2","2","1","2","2","1","2","3","1","3","4","2","2","4","4","2","1","1","1","1","1","4","2","2","3","1","3","4","3","3","2","2","4","4","2","4","3","3","3","2","3","1","4","1","1","4","4","2","2","3","2","2","4","3","3","3","4","3","2","3","4","1","2","1","2","1","3","1","4","2","3","1","3","4","1","1","4","2","3","3","3","4","4","3","1","3","2","1","1","1","4","4","1","2","4","4","1","4","2","4","1","3","3","4","4","4","3","4","1","4","2","1","2","4","4","4","2","3","2","2","4","2","3","2","1","3","3","4","4","1","1","2","4","4","2","4","1","1","4","4","1","2","3","1","3","1","2","1","1","2","1","3","3","3","1","3","4","3","4","3","2"
"43","Curacao","THSR","4","1","3","1","2","4","3","1","1","1","3","2","2","2","3","2","3","2","4","4","4","3","4","3","3","3","1","1","1","3","1","4","1","4","1","1","3","4","4","2","4","4","3","2","4","3","1","2","2","4","3","3","4","1","2","4","3","1","2","1","4","4","1","4","1","1","2","2","3","3","3","3","2","3","3","2","3","3","3","4","1","3","1","3","4","4","2","1","4","4","1","4","1","4","3","4","1","3","1","4","4","2","4","2","4","1","3","2","2","4","4","1","2","3","3","3","1","4","2","1","1","1","2","2","1","2","2","4","4","4","3","4","2","2","4","4","1","4","2","2","1","3","4","1","3","4","3","4","3","1","4","2","3","2","1","3","1","1","3","3","4","3","1","3","2","4","3","3","2","2","2","3","3","2","2","4","2","2","2","3","1","3","3","1","3","3","1","2","2","3","1","3","3","2","1","4","3","1","4","1","1","4","3","4","2","2","4","2"
"44","Cyprus","THSR","2","3","2","4","3","1","1","1","2","2","3","1","4","1","1","4","3","2","3","3","4","1","2","1","2","1","3","2","4","4","3","4","4","2","4","2","2","2","1","3","3","4","1","4","4","2","1","1","3","1","2","4","1","2","3","1","1","3","4","1","3","2","3","4","1","1","2","1","1","2","4","4","2","3","2","1","1","4","2","3","3","3","2","3","1","3","4","3","4","1","3","1","1","1","4","4","3","1","1","3","2","4","2","4","3","4","2","1","4","1","4","3","4","1","3","4","4","1","2","2","2","2","4","3","1","3","4","4","1","1","2","1","1","3","4","2","2","1","2","2","3","2","3","4","3","4","4","1","1","4","4","3","1","1","4","1","2","4","3","3","3","4","1","2","2","3","3","1","2","3","1","4","3","1","1","3","2","2","1","2","2","1","2","3","3","4","2","4","3","1","1","3","1","3","1","3","4","2","3","1","1","2","3","2","3","3","1","4"
"45","Czech Republic","THSN","3","1","3","4","4","3","2","2","4","4","2","3","2","1","4","4","3","1","1","2","1","1","1","1","4","3","2","4","3","2","3","1","3","2","3","2","4","1","2","1","1","3","2","3","2","4","1","3","4","2","2","2","3","2","2","2","4","4","2","1","4","2","3","3","2","2","2","1","3","1","1","3","4","4","4","4","2","2","3","4","2","4","1","2","3","4","4","1","3","1","1","2","3","1","4","4","1","3","2","3","3","1","2","4","2","2","2","4","1","3","3","4","3","4","1","1","3","3","3","3","1","1","3","2","2","3","3","1","3","1","3","3","3","1","3","1","4","1","1","2","4","3","3","1","1","3","3","3","2","4","2","1","1","4","4","4","2","3","3","1","2","1","3","3","1","1","3","2","3","1","2","1","4","4","4","2","1","4","2","3","3","2","4","2","2","1","2","3","1","2","4","2","4","1","1","3","3","2","4","1","3","1","4","2","1","4","2","1"
"46","Cote d'Ivoire","VFR","2","2","1","2","3","1","3","2","2","4","1","2","2","1","2","3","4","2","2","3","1","4","3","4","4","4","2","3","1","1","1","3","3","4","1","1","1","1","3","3","4","3","2","4","3","4","1","3","2","2","3","3","2","1","4","1","4","4","4","1","4","1","3","3","3","4","1","2","3","2","1","3","2","3","3","2","4","1","3","1","1","2","1","2","1","3","2","1","2","1","3","2","1","2","4","4","4","1","4","2","3","3","2","2","1","4","3","4","3","2","4","4","4","1","4","4","4","1","1","2","1","3","4","2","3","3","1","2","1","2","1","2","4","4","3","3","3","2","4","1","1","1","3","2","4","3","1","2","3","3","2","1","3","2","2","3","3","4","4","2","1","1","2","1","2","1","2","1","2","2","2","1","2","4","2","2","4","3","1","2","3","1","4","1","3","3","2","2","2","3","3","4","3","4","3","3","2","4","2","3","3","1","4","1","3","4","2","4"
"47","Denmark","THSR","4","3","3","2","1","2","4","4","2","1","3","1","1","4","3","1","2","4","3","3","4","3","4","4","2","3","1","3","3","2","3","2","3","2","4","2","2","2","2","2","1","1","1","2","3","4","2","2","2","2","2","3","4","2","1","2","3","3","2","4","1","1","1","4","2","1","3","1","2","3","1","4","3","2","3","4","1","4","3","2","1","1","4","1","3","2","2","3","3","2","4","4","4","4","1","2","3","4","3","1","3","2","4","1","3","1","1","3","1","4","3","4","4","4","4","3","4","3","4","4","3","3","1","4","4","2","4","3","3","1","4","2","3","4","2","3","1","4","1","2","2","4","4","3","4","4","2","1","2","2","3","1","2","1","4","2","3","3","3","3","2","2","1","2","3","2","2","2","2","1","3","3","1","3","3","2","4","4","1","3","1","3","3","4","2","4","4","3","2","2","1","2","2","3","3","2","3","3","4","3","4","4","3","2","1","3","2","3"
"48","Dominica","TFR","3","2","4","1","2","3","1","2","3","2","2","3","3","4","3","2","2","3","4","1","1","3","3","4","3","2","3","2","2","2","2","3","4","4","4","4","4","2","3","1","4","4","1","3","1","4","1","4","1","2","2","4","1","3","2","1","4","1","1","3","3","2","4","4","2","1","1","1","3","2","2","3","2","4","1","4","2","3","1","2","3","4","2","1","4","2","1","1","4","1","3","3","3","3","4","2","1","1","4","1","2","1","1","4","4","4","3","4","1","4","4","2","1","3","2","4","4","2","4","1","4","4","2","2","4","4","4","1","2","4","3","4","4","3","3","3","4","2","4","4","1","4","1","1","4","2","2","3","3","2","3","4","1","4","4","2","1","3","2","2","4","4","3","2","4","3","1","2","4","2","2","2","3","4","2","2","2","4","2","4","3","4","1","3","4","3","1","2","3","3","1","4","4","3","1","2","3","4","3","1","3","4","2","2","4","3","1","2"
"49","Dominican Republic","TFR","3","3","1","3","1","3","4","4","1","1","3","4","3","1","1","4","1","1","1","4","4","1","4","3","4","1","1","2","1","2","1","4","4","2","1","1","1","3","2","2","2","1","1","4","4","3","1","2","3","2","1","3","4","1","1","1","3","2","2","3","1","3","1","4","4","4","1","2","1","3","3","1","2","1","4","1","1","4","4","4","3","2","1","1","3","3","1","3","3","1","1","2","3","4","4","2","2","1","3","1","2","3","3","2","2","1","2","3","4","3","4","4","4","3","2","3","1","1","2","2","4","4","4","3","2","2","4","1","3","3","4","2","4","2","1","1","4","3","2","1","2","4","1","1","3","2","4","4","4","3","4","1","2","4","4","2","3","1","3","1","2","2","2","4","1","1","3","3","3","2","4","4","1","1","4","2","1","2","2","4","4","2","4","4","4","2","3","3","2","4","2","1","2","2","2","2","3","4","3","1","1","2","1","2","4","1","3","2"
"50","Ecuador","VFR","3","2","2","2","2","4","3","4","2","3","1","3","3","1","4","4","3","4","4","1","1","4","3","2","1","3","3","2","3","4","4","2","4","4","3","4","4","4","1","3","2","3","2","3","3","1","1","3","3","1","4","2","1","3","2","4","3","3","2","3","2","3","3","4","4","2","4","2","3","2","3","1","4","2","2","2","1","4","2","3","3","4","1","3","3","3","2","3","4","2","2","3","4","3","2","2","1","4","1","2","2","2","2","2","2","2","2","2","3","1","4","2","1","4","3","2","1","4","2","2","4","3","2","4","3","3","2","2","2","2","1","1","1","1","4","2","4","1","2","3","4","4","3","1","2","1","4","3","1","2","1","3","3","1","4","1","4","1","2","3","1","4","3","3","3","4","3","3","1","3","1","2","1","2","2","2","4","1","1","1","3","4","4","3","1","1","2","1","4","4","4","2","2","1","2","2","4","4","2","3","4","4","4","1","2","2","1","1"
"51","Egypt","VFN","4","1","4","4","4","1","3","4","1","2","4","1","3","1","4","4","1","3","3","1","1","4","4","1","2","2","2","4","3","4","1","3","4","2","1","3","3","4","3","1","3","4","2","2","2","4","2","4","1","4","2","1","3","1","4","2","2","2","4","1","3","1","1","1","3","2","3","2","3","3","4","2","1","4","2","1","1","2","4","3","1","3","4","3","3","2","2","2","3","1","1","2","2","4","4","1","3","4","4","3","3","2","3","4","3","1","1","3","2","2","2","4","2","3","2","4","2","4","1","2","3","3","3","2","2","4","4","1","4","1","3","4","4","3","2","3","4","4","2","1","1","1","3","4","4","4","2","1","3","3","3","4","2","4","2","3","3","2","1","3","3","4","2","1","2","2","3","4","2","3","4","3","2","4","4","2","2","4","3","1","2","4","2","1","1","1","3","4","2","2","1","1","1","2","4","1","2","4","1","3","1","4","3","1","4","4","2","4"
"52","El Salvador","THSN","2","3","3","1","4","4","4","1","4","4","1","2","4","3","4","2","1","3","1","3","1","4","3","3","1","1","4","4","2","3","3","4","4","3","1","3","1","2","1","1","2","1","1","4","4","3","2","2","1","2","1","4","2","1","3","1","4","2","1","1","4","1","2","3","1","4","2","1","2","3","4","2","3","1","3","4","1","4","2","1","1","1","4","2","1","1","1","3","1","2","2","2","3","4","2","2","1","1","4","4","2","1","3","3","4","2","1","1","4","2","2","1","3","3","2","1","2","3","3","4","1","4","1","3","2","1","4","4","3","3","2","4","2","1","1","2","1","2","4","2","3","1","2","4","4","1","1","1","4","4","4","2","1","3","1","2","2","1","4","1","1","3","3","2","4","1","2","3","3","3","4","4","1","2","2","2","1","4","2","2","3","2","1","4","4","4","2","1","2","1","3","4","2","4","1","2","2","2","4","4","3","3","3","3","2","3","2","1"
"53","Estonia","THSR","1","3","4","2","4","4","2","4","1","3","2","4","3","4","2","1","1","4","4","1","2","4","4","4","3","3","4","4","4","2","2","2","3","2","4","3","4","1","4","1","1","1","3","2","4","4","1","3","1","4","1","4","2","3","4","1","2","2","4","1","2","1","1","3","3","4","2","1","3","3","3","1","3","1","1","4","2","2","3","1","3","1","1","2","1","1","4","1","1","4","4","4","1","3","1","3","4","4","4","1","2","3","1","4","2","4","4","4","2","3","2","2","3","4","3","4","2","1","3","3","2","2","1","4","3","1","2","1","4","1","4","1","4","3","4","1","1","1","3","1","1","2","3","3","4","2","4","4","1","1","3","2","2","2","3","1","4","3","1","3","2","2","2","2","4","2","2","1","2","4","1","3","1","1","1","4","2","4","4","4","3","1","4","1","3","3","4","3","4","1","1","2","1","3","4","3","1","3","4","3","1","4","1","2","4","3","3","3"
"54","Eswatini","VFR","1","3","4","3","4","3","4","2","4","2","3","1","2","4","3","3","1","2","2","3","4","4","2","1","1","2","3","3","1","1","3","3","3","2","3","3","3","4","1","1","4","4","1","1","4","1","1","3","1","1","1","1","1","1","4","2","4","1","3","2","4","3","3","3","3","4","3","1","2","4","4","2","2","2","1","1","2","2","2","4","2","4","3","3","1","4","1","3","3","2","2","2","4","3","2","2","2","1","1","2","2","4","4","3","2","1","1","2","3","3","4","3","4","1","3","1","1","3","3","3","3","1","3","1","2","3","4","2","4","1","4","1","4","2","2","4","4","2","4","3","1","3","2","3","1","4","4","1","1","4","3","2","3","3","4","1","2","2","4","4","2","4","4","1","1","1","4","4","4","3","2","2","1","2","3","3","3","1","4","1","2","3","2","3","2","1","3","4","1","3","1","2","1","3","4","3","3","2","4","1","4","3","1","3","2","3","2","3"
"55","Ethiopia","TFR","2","2","2","4","1","2","1","2","1","2","2","2","4","4","2","2","3","1","1","3","4","1","2","3","4","1","1","3","1","4","2","2","2","4","4","3","1","1","2","3","3","3","2","4","2","2","2","4","3","1","1","4","3","2","1","3","3","3","4","4","2","4","3","1","2","3","2","2","2","2","2","1","1","2","4","3","4","1","1","1","4","3","1","3","2","2","4","1","1","3","1","3","1","1","2","2","4","1","2","1","3","4","3","4","4","3","3","2","4","2","3","1","2","2","1","2","1","1","2","2","2","1","2","2","2","3","3","3","1","4","3","2","4","1","2","1","4","3","3","4","3","2","3","1","4","1","2","4","3","1","2","2","3","2","4","1","4","4","2","4","4","1","1","2","4","1","2","3","3","2","2","3","4","4","4","1","3","2","2","1","4","3","4","2","4","1","1","3","4","2","4","3","3","2","3","3","1","4","3","1","2","2","4","3","2","2","3","1"
"56","Fiji","TFR","4","4","2","3","4","4","2","1","2","2","2","3","3","2","3","3","3","2","2","3","4","2","4","2","2","3","1","2","1","4","2","4","1","1","2","1","3","4","3","2","3","2","4","3","2","3","3","4","2","1","2","2","3","3","4","3","2","2","3","1","3","1","2","4","1","1","2","2","4","1","1","4","2","1","4","4","2","1","1","2","1","1","2","1","3","3","4","1","1","3","1","4","2","2","4","1","2","3","1","3","1","4","3","2","2","3","1","1","1","4","3","1","4","1","4","1","2","1","2","2","1","3","1","2","1","3","2","3","1","4","4","4","4","1","4","1","3","3","4","4","4","3","4","2","3","2","2","2","2","1","3","3","1","2","3","1","3","2","3","2","4","2","1","2","1","3","4","3","2","2","1","3","2","2","1","1","1","2","3","3","3","2","1","1","1","4","1","1","3","3","1","3","1","1","2","2","1","2","1","1","2","2","3","4","2","2","4","4"
"57","Finland","TCER","2","4","1","3","1","1","1","4","2","3","4","3","2","2","3","4","1","4","2","1","1","1","4","3","3","1","1","3","1","1","1","4","3","3","4","4","1","4","1","2","4","1","4","2","4","4","3","1","4","3","1","4","2","1","2","3","3","1","4","4","2","1","4","4","2","1","3","1","2","4","2","1","3","4","4","4","2","2","2","4","1","3","2","4","1","3","1","4","4","1","3","3","4","1","3","4","2","1","2","1","1","3","2","1","4","4","4","3","3","2","2","2","3","3","1","3","2","2","1","4","1","3","3","2","3","2","4","1","4","3","4","3","4","1","3","1","2","2","3","2","1","2","2","2","3","4","3","1","2","2","2","4","2","2","4","3","3","2","1","1","3","3","3","2","1","3","1","3","4","4","2","3","4","2","3","3","2","1","2","3","3","4","2","4","1","3","3","3","2","1","4","3","4","3","4","3","1","4","3","4","3","2","3","3","3","4","2","4"
